T_k,H_k,L_k,M_k,P_Kipas_k,P_Pompa_k,T_k+1,H_k+1
25.618101782710436,47.851170512077175,478.99690871269456,0,0,1,24.845155590514807,45.012098432824914
34.260714596148745,47.409363972159994,654.0742469749897,0,0,1,33.17747232976159,43.148809224088716
30.979909127171076,67.1876374156311,620.1206973426192,0,0,1,29.859382201715945,63.406069712159905
28.979877262955547,47.48638599548518,165.42492852033024,0,0,0,28.2824507803358,41.48541920337649
22.34027960663655,48.15849178385893,161.93710230610543,0,0,0,21.504190491391945,42.89731344206607
22.33991780504304,62.78194787253891,251.130775808685,0,0,0,21.901611017035663,57.95969284038857
20.871254182522993,53.4921952735162,320.8060447557779,1,0,1,20.728962031857883,51.656597456850555
32.992642186624025,63.301316708655435,356.34168605636194,1,0,1,31.88560509004622,59.133047527617784
29.01672517614813,41.96098472693156,559.772912625009,0,0,0,28.472508062196805,35.79039682985225
30.621088666940683,54.62713581020153,92.51032412437655,0,1,0,27.580472440768055,47.97257191859118
20.308767414437035,41.00840800549848,76.00452816954979,0,0,1,19.66170644039184,39.174093519748695
34.54864778242992,41.87959610366064,343.93292220793177,0,0,1,33.11015231409082,37.70974570387143
32.48663961200633,67.19312360033233,572.8727691034853,1,0,1,31.62930492725706,62.87393730688225
23.185086660174143,44.17736113352785,195.07650721736192,1,0,1,22.806721296306943,42.122639858349174
22.727374508106507,55.972620468256515,531.1283609421887,0,0,0,22.10640261198213,51.06401567790217
22.751067647801506,52.33286807802119,244.87110345522458,1,0,1,22.368844841977836,50.28699337343982
24.563633644393065,50.42029978776528,714.5645816101372,1,1,1,22.230435758690675,47.43016177833784
27.871346474483566,66.99500037061817,721.7674581999624,0,1,0,24.9196346758599,60.77144092142726
26.479175279631736,40.65470190326469,272.96540321099485,0,1,0,23.36497189806408,35.49742608189266
24.368437102970628,59.91369058526767,222.49531547243038,0,0,1,23.62761102347465,57.19457471042059
29.17779342083569,68.9018330264065,358.4779790496734,0,0,0,27.863782101787915,63.00684146752933
22.092407909780626,56.805045503855254,230.39868888511154,1,0,1,21.8408531089253,54.48124441908228
24.382169728028273,68.10467386099276,554.2878824687778,0,1,1,21.516166207084463,65.63968765580033
25.495427649405375,41.56773637858071,669.5485134112141,1,0,0,25.045160320172474,36.474072844115234
26.84104976325554,52.56379957222484,554.8190981834127,0,0,0,26.196108522321452,47.205016350568606
31.777639420895206,47.804733728861535,668.2628354370121,1,1,1,28.846445145560246,43.98493865711468
22.995106732375397,61.924628949421894,347.7441216556056,0,1,0,20.504539834533443,56.64115652414234
27.713516576204174,69.4389127149174,167.23772803164564,0,0,1,26.76283231239104,66.16639029534026
28.886218532930638,47.695901873327436,603.4632105481941,1,0,1,28.504886826593943,44.8929445070992
20.696756190799967,59.62523804422223,320.3558788561654,1,0,1,20.407145489280236,57.54699093951101
29.113172778521573,45.9429289827922,553.4531189218494,1,0,0,28.331440191769488,40.03214295477773
22.557861855309373,56.9599076371483,252.98295648632424,0,1,1,20.033054530103197,54.85023071496743
20.97577389477919,53.91797460065008,110.9222261050045,1,0,1,20.66161674059669,51.03565542753624
34.2332830588,69.16015988894611,794.4363466158226,1,0,1,33.19540147874064,64.21529388189514
34.484480496118394,58.255818180893996,167.15113094794947,1,1,0,31.488580493706905,51.52252000995887
32.125960221746915,50.485191162604565,791.3157454726107,1,0,1,31.31297123083212,46.66082581296638
24.56920653760056,43.422873546638,782.9599494248355,1,0,1,24.342073230407262,41.05068919040241
21.46508171009576,44.537404862048035,645.3635779310297,1,1,1,18.901714462772034,42.44621676502229
30.263495397682355,46.75950789853705,544.5672215614982,1,1,0,27.553782726640797,40.85607713929512
26.60228740609402,47.52899984020894,483.3552876883135,1,0,1,26.165908574987427,44.343755886192696
21.83057352267168,65.51848173523413,699.576159033376,1,1,1,19.568062132786867,63.1046718979526
27.427653651669054,56.83668364847575,267.07964121461595,0,1,0,24.75275074450063,51.284126286218154
20.515827816728276,55.70172734123099,400.7609093636578,0,0,0,19.978884626428083,51.2764838030765
33.639806031181735,43.443066156076526,514.5424770248765,1,1,1,30.730133013294754,40.13230021667235
23.881699724000253,65.80419080048304,358.3928569021183,0,0,1,23.27646416985224,62.97908155892405
29.937834265309732,61.68442909625451,370.614840567701,0,0,1,28.95583962428695,58.04223870058711
